id,title,type,district_n
68388,Pearl Dental,Dental Clinic,Chitwan
68389,Medant Dental Zone Clinic,Dental Clinic,Chitwan
68390,Rupaly Homoeo Clinic,Medical Centre,Chitwan
68392,Dhanwantary Clinic,Medical Centre,Chitwan
68394,Durga Ayurveda,Basic Ayurveda Service Centre,Chitwan
68395,Himalayan Ayurveda Clinic,Basic Ayurveda Service Centre,Chitwan
68396,Thapaliya Dental,Dental Clinic,Chitwan
68397,Sakar Policlinic,Poly Clinic,Chitwan
68398,Shree Padam Danta Karyalaya,Medical Centre,Chitwan
68399,Shree Dental,Dental Clinic,Chitwan
68400,Polycare Dental,Poly Clinic,Chitwan
68401,Polycare Dental,Dental Clinic,Chitwan
68402,Kantipur Dental,Dental Clinic,Chitwan
68403,Oramax Dental,Dental Clinic,Chitwan
68404,Laligurash Dental Care,Dental Clinic,Chitwan
68405,Chitwan Dental Home,Dental Clinic,Chitwan
68406,Chitwan Himal Dental,Dental Clinic,Chitwan
68407,Anmol Upachar Sewa Kendra,Basic Ayurveda Service Centre,Chitwan
68408,Rupaly Laboratory,Laboratory "D",Chitwan
68409,Chitwan City Dental Care,Dental Clinic,Chitwan
68426,Chitwan Pushpanjali Halth Care,Medical Centre,Chitwan
68427,Akhanda Smile Dental Clinic,Dental Clinic,Chitwan
68428,Sakxam Health Clinic,Medical Centre,Chitwan
68429,Shurakamana Dental Clinic,Dental Clinic,Chitwan
68434,Sagarmatha  Diagnostic Center,Diagnostic Center (Radiology/Laboratory/X-ray etc.),Chitwan
68435,Om Health Care Clinic,Medical Centre,Chitwan
68436,Nabadurga Clinic,Medical Centre,Chitwan
68437,Ganesh Clinic,Medical Centre,Chitwan
12120,Melchour Samudayik Health Center,Other,Dhading
13765,Aginchok SHP,Health Post,Dhading
13766,Baireni HP,Health Post,Dhading
13767,Baseri SHP,Health Post,Dhading
13770,Bhumesthan SHP,Health Post,Dhading
13771,Budhathum HP,Health Post,Dhading
13772,Salbas HP,Health Post,Dhading
13773,Chhatre Dyaurali SHP,Health Post,Dhading
13774,Darkha HP,Health Post,Dhading
13775,Dhola SHP,Health Post,Dhading
13779,Gajuri PHC,Primary Health Care Center,Dhading
13780,Gajuri Hospital,Hospital,Dhading
13781,Marie Stopes Service,Other,Dhading
13782,Goganpani SHP,Health Post,Dhading
13783,Thakre SHP,Health Post,Dhading
