id,title,type,DISTRICT_max,GAPA_NAPA_min,Long,Lat
55301,Nuwakot Hospital Pvt.Ltd.L_Nuwakot,General Hospital,NUWAKOT,Bidur,85.1661,27.9172
55302,Nuwakot Sanjivani Hospital Nuwakot,General Hospital,NUWAKOT,Bidur,85.1661,27.9172
55303,"Aamthang Primary Thc, Kalyanpur-2, Nuwakot",,NUWAKOT,Bidur,85.1661,27.9172
55304,Battar Sanjibani Poly Clinic_ Bidur_ Nuwakot,Poly Clinic,NUWAKOT,Bidur,85.1661,27.9172
55305,Bhalche Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55306,Fikuri Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55308,Manakamana Hp Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55309,Salme Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55310,Thap Manakamana Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55311,Barsunchet Hp_Nuwakot,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55318,Budhasing Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55319,Dangsing Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55320,Gorsyang Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55321,Taruka Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55322,Thap Budhasing Hp_Nuwakot,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55324,"Community Health Unit, Belkot-9, Nuwakot",Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55325,Belkot Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55326,Duipipal Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55327,Jiling Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55329,Madanpur Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55330,Ratmate Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55331,Thap Duipipal Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55338,Kabilas Hp Nuwakot,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55341,Kiran Polyclinic Pvt. Ltd._Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55342,"Community Health Unit, Talakhu-6, Nuwakot",Community Health Unit,NUWAKOT,Bidur,85.1661,27.9172
55343,Community Health Unit_Samundradevi_Nuwakot,आधारभूत स्वास्थ्य सेवा केन्द्र,NUWAKOT,Bidur,85.1661,27.9172
